Geneid,N2,N2,R1,R2
ASTL,4,12,67,51
DUSP2,214,389,49,56
STARD7,1725,807,935,937
STARD7-AS1,37,39,2,12
TMEM127,1135,1039,156,163
CIAO1,950,595,302,303
SNRNP200,2472,1650,4951,4828
ITPRIPL1,29,20,6,4
NCAPH,94,53,137,103
NEURL3,5,2,0,0
ARID5A,164,316,52,51
KANSL3,652,631,710,609
FER1L5,0,2,36,46
LMAN2L,163,161,90,117
CNNM4,287,192,324,306
MIR3127,0,0,0,0
CNNM3,363,309,110,106
ANKRD23,29,20,31,37
ANKRD39,38,47,36,38
SEMA4C,355,621,284,269
NA,0,0,0,0
FAM178B,0,6,0,0
LOC101927053,0,0,0,0
FAHD2B,95,72,87,60
NA,1,0,0,0
ANKRD36,74,49,3037,2924
LOC100506076,1,0,0,0
LOC100506123,0,0,0,0
NA,0,0,0,0
ANKRD36B,40,33,2064,1948
COX5B,185,111,422,417
ACTR1B,562,454,241,255
C2orf92,12,9,0,0
ZAP70,187,132,57,45
TMEM131,1027,733,1546,1398
VWA3B,3,1,4,4
CNGA3,2,21,0,0
INPP4A,779,705,634,609
COA5,237,125,182,162
UNC50,343,225,312,288
MGAT4A,915,364,285,307
LINC02611,14,4,0,0
CRACDL,93,51,80,95
TSGA10,43,9,149,143
C2orf15,52,6,44,51
LIPT1,60,39,72,44
MITD1,169,147,185,185
MRPL30,418,289,248,206
LYG2,2,1,10,10
LYG1,2,12,13,11
TXNDC9,325,147,162,189
EIF5B,1282,932,2123,2238
REV1,582,417,1409,1461
AFF3,129,239,88,87
LINC01104,0,0,0,0
LONRF2,48,152,18,25
CHST10,44,130,39,27
NMS,0,0,0,0
PDCL3,231,236,295,259
NPAS2,704,283,1287,1174
NPAS2-AS1,0,0,0,0
RPL31,3396,1840,4868,4800
TBC1D8,540,298,2114,1994
TBC1D8-AS1,13,8,0,0
CNOT11,607,355,482,525
RNF149,798,351,708,733
SNORD89,0,0,0,0
MIR5696,0,0,0,0
CREG2,1,5,0,2
RFX8,5,3,3,10
MAP4K4,1253,1348,1545,1466
LINC01127,2,0,0,0
IL1R2,98,22,10,8
IL1R1,2420,1742,398,392
IL1RL2,17,15,67,54
IL1RL1,80,36,16,15
IL18R1,179,75,48,52
IL18RAP,80,24,30,24
MIR4772,0,0,0,0
SLC9A4,40,0,2,14
SLC9A2,151,2,125,134
MFSD9,290,134,79,135
TMEM182,96,24,35,36
LOC100287010,0,0,0,0
LINC01102,0,0,0,0
LINC01103,0,0,0,0
LINC01114,0,0,0,0
PANTR1,0,0,0,0
POU3F3,0,0,0,0
LINC01159,0,0,0,0
MRPS9-AS2,0,0,0,0
MRPS9,202,141,198,196
MRPS9-AS1,0,2,0,0
LINC01918,0,0,0,0
GPR45,0,0,2,0
TGFBRAP1,329,337,268,317
C2orf49-DT,16,15,0,0
C2orf49,395,243,102,84
FHL2,990,807,129,97
LOC285000,0,0,0,0
NCK2,252,305,74,88
ECRG4,7,111,0,2
UXS1,425,311,213,218
PLGLA,0,0,0,0
RGPD3,10,6,354,349
ST6GAL2,53,72,3,0
GACAT1,0,0,0,0
RGPD4-AS1,0,0,0,0
RGPD4,24,10,57,55
SLC5A7,56,24,50,30
SULT1C3,0,0,6,3
SULT1C2,3,5,25,22
SULT1C2P1,0,0,0,0
SULT1C4,58,104,8,2
GCC2,1121,556,3244,3446
LIMS1,1437,813,712,758
RANBP2,1896,976,27247,26530
CCDC138,59,14,129,159
EDAR,34,20,4,8
SH3RF3-AS1,7,6,2,1
SH3RF3,142,229,25,21
MIR4265,0,0,0,0
NA,0,0,0,0
MIR4266,0,0,0,0
NA,0,0,0,0
SEPTIN10,1102,1013,948,909
SOWAHC,625,611,77,64
RGPD5,61,4,265,618
LIMS3,7,0,0,0
LIMS3-LOC440895,0,0,0,0
LOC440895,0,0,0,0
LINC01123,22,9,0,0
LOC105373985,2,0,0,0
LOC105373986,0,0,0,0
MIR4267,0,0,0,0
MALL,87,195,91,83
MIR4436B1,0,0,0,0
NPHP1,36,52,119,126
MTLN,3,12,0,0
LOC100507334,2,1,0,0
MIR4436B2,0,0,0,0
LOC105373551,4,0,0,0
LINC01106,56,20,1,0
LOC100288570,5,2,0,0
LIMS4,23,17,0,1
RGPD6,15,11,63,76
BUB1,202,95,226,270
ACOXL,188,40,1381,1253
ACOXL-AS1,4,0,4,0
BCL2L11,494,473,255,208
NA,16,20,1,1
MIR4435-2,0,0,0,0
MIR4435-2HG,38,23,0,0
NA,0,0,0,0
ANAPC1,544,304,1307,1284
MIR4771-2,0,0,0,0
MERTK,226,255,681,694
TMEM87B,889,390,1194,1298
FBLN7,39,30,14,17
ZC3H8,106,57,177,192
ZC3H6,193,181,733,767
RGPD8,48,21,1879,1797
TTL,394,425,91,102
POLR1B,369,129,453,449
CHCHD5,81,62,8,10
FLJ42351,2,4,0,0
SLC20A1,683,600,2142,2213
NT5DC4,2,1,5,6
CKAP2L,51,28,87,70
IL1A,81,74,65,67
IL1B,410,226,118,123
IL37,0,0,2,4
IL36G,0,8,2,0
IL36A,2,0,0,0
IL36B,2,0,0,2
IL36RN,0,0,0,0
IL1F10,0,0,0,0
IL1RN,445,207,271,292
PSD4,770,350,560,582
PAX8,145,44,432,379
PAX8-AS1,320,363,2,9
NA,6,18,7,2
CBWD2,216,138,1657,1513
FOXD4L1,0,0,51,30
PGM5P4-AS1,4,9,0,0
PGM5P4,0,11,3,0
FAM138B,0,1,0,2
MIR1302-3,0,0,1,1
WASH2P,64,76,263,234
DDX11L2,10,2,35,35
RPL23AP7,30,41,15,7
RABL2A,52,76,126,83
SLC35F5,630,404,763,791
MIR4782,0,0,0,0
ACTR3-AS1,3,0,0,0
ACTR3,3195,2054,2241,2080
LOC100499194,0,0,2,0
LINC01191,0,0,0,0
DPP10,0,0,4,2
DPP10-AS3,0,0,0,0
DPP10-AS1,0,0,0,0
DDX18,1119,628,643,649
CCDC93,515,273,505,477
NA,0,0,0,1
INSIG2,384,202,136,117
LOC101927709,0,0,0,0
EN1,0,0,0,0
MARCO,58,134,4,2
C1QL2,0,0,0,0
STEAP3,278,127,242,239
STEAP3-AS1,0,3,0,0
C2orf76,50,36,22,26
DBI,346,203,593,631
TMEM37,93,101,34,33
SCTR,0,4,8,4
CFAP221,2,4,14,6
TMEM177,33,21,22,8
LOC101927764,1,0,0,0
PTPN4,369,164,516,543
EPB41L5,220,184,315,396
TMEM185B,443,301,96,64
RALB,881,670,133,108
LOC105373989,0,3,0,0
INHBB,72,189,2,2
LINC01101,0,0,0,0
GLI2,41,102,8,6
TFCP2L1,454,12,41,69
CLASP1,571,538,1476,1557
RNU4ATAC,0,2,78,73
NA,0,0,2,3
NIFK-AS1,39,35,2,3
NIFK,258,144,157,193
TSN,928,514,327,324
CNTNAP5,0,8,33,16
LOC105373602,0,0,0,0
GYPC,234,471,201,186
TEX51,0,0,0,0
BIN1,233,616,41,59
CYP27C1,20,35,46,32
ERCC3,522,491,871,808
MAP3K2,1060,479,922,941
NA,0,0,5,1
MAP3K2-DT,10,4,0,1
PROC,5,2,12,14
MIR4783,0,0,0,0
IWS1,538,403,800,701
MYO7B,17,21,20,17
LIMS2,141,1076,32,33
GPR17,7,23,11,6
SFT2D3,184,79,0,2
WDR33,689,410,1222,1211
POLR2D,289,129,105,75
AMMECR1L,445,361,296,279
SAP130,320,218,490,503
UGGT1,1113,494,1405,1434
HS6ST1,899,302,113,114
LOC101927881,1,0,0,0
LINC01854,0,0,0,0
PLAC9P1,0,1,0,0
LINC01856,0,0,0,0
RAB6C-AS1,0,0,0,0
RAB6C,7,5,41,56
FAR2P1,0,0,10,7
POTEF,0,0,772,633
MED15P9,0,0,0,0
CCDC74B,1,18,2,0
SMPD4,390,433,318,302
MZT2B,9,11,23,45
TUBA3E,0,0,3,6
TRE-TTC1-1,0,0,0,0
CCDC115,383,253,48,32
IMP4,193,160,139,141
PTPN18,905,545,205,257
FAR2P2,8,7,0,2
CYP4F62P,0,0,0,0
POTEI,0,3,7,14
CFC1B,0,0,0,0
PRSS40B,0,0,0,0
PRSS40A,0,0,0,0
CFC1,0,0,0,0
POTEJ,3,2,4,8
CYP4F30P,0,0,0,0
GPR148,0,0,0,0
AMER3,0,0,0,0
ARHGEF4,28,97,53,38
FAM168B,1507,1080,129,117
PLEKHB2,1644,774,111,141
POTEE,5,6,27,31
LOC440910,0,0,0,0
RAB6D,5,3,24,27
NA,0,0,0,0
LINC01120,0,0,0,0
NOC2LP2,0,1,10,2
MZT2A,26,23,93,65
TUBA3D,2,0,51,50
MIR4784,3,0,0,0
SMPD4BP,150,181,246,250
CCDC74A,26,95,18,13
POTEKP,0,0,16,10
LINC01087,2,0,0,0
C2orf27A,11,8,3,5
CDRT15P3,0,0,0,0
LINC01945,0,0,0,0
ANKRD30BL,0,0,0,0
MIR663B,0,0,0,0
ZNF806,0,0,0,0
GPR39,37,16,73,66
LYPD1,0,1,2,4
NCKAP5,39,45,88,100
NCKAP5-AS1,0,0,0,0
NCKAP5-AS2,2,0,0,0
MGAT5,1364,626,487,477
MIR3679,0,0,0,0
TMEM163,288,11,121,110
ACMSD,0,0,19,22
MIR5590,1,0,0,0
CCNT2-AS1,7,6,0,1
CCNT2,776,396,2136,2167
MAP3K19,1,0,11,17
RAB3GAP1,1028,856,1995,2104
ZRANB3,64,59,118,114
R3HDM1,422,364,862,816
MIR128-1,0,0,4,0
UBXN4,2458,1468,1710,1759
LCT,0,0,9,10
LCT-AS1,0,0,0,0
MCM6,404,269,216,189
DARS1,1041,548,1209,1230
DARS1-AS1,4,3,0,0
CXCR4,899,1341,229,257
THSD7B,4,30,116,133
LOC101928273,0,0,0,0
HNMT,1016,484,607,568
SPOPL,495,388,480,422
NXPH2,0,0,0,0
YY1P2,0,0,0,0
LRP1B,2,2,214,262
MIR7157,0,0,0,0
KYNU,443,250,999,896
ARHGAP15,231,127,87,82
LOC101928386,1,0,0,0
GTDC1,291,218,150,178
ZEB2,1393,1967,715,772
ZEB2-AS1,0,0,0,0
LINC01412,0,0,0,0
TEX41,0,0,0,0
PABPC1P2,0,0,12,6
ACVR2A,249,127,641,609
ORC4,351,218,550,554
MBD5,275,206,2097,2026
EPC2,545,402,588,601
LOC101928526,0,0,0,0
KIF5C,270,29,9,6
LYPD6B,280,26,149,164
LYPD6,168,44,35,30
MMADHC,961,495,920,884
MMADHC-DT,2,1,0,1
RND3,948,2094,511,488
LINC01920,0,0,0,0
LINC02612,0,0,0,0
RBM43,208,119,91,92
NMI,300,135,401,385
LOC101929319,0,1,0,0
TNFAIP6,73,189,7,4
MIR4773-1,0,0,0,0
MIR4773-2,0,0,0,0
RIF1,767,303,3098,3103
NEB,23,7,2527,2660
ARL5A,680,462,325,335
CACNB4,51,110,12,11
STAM2,679,430,806,817
FMNL2,590,613,597,563
PRPF40A,1543,892,2158,2300
ARL6IP6,245,151,146,166
RPRM,10,2,6,20
GALNT13,21,18,58,77
LOC100144595,0,0,2,2
KCNJ3,8,33,0,0
LINC01876,31,3,3,2
NR4A2,214,2047,701,638
TRA-CGC3-1,0,0,0,0
TRG-GCC2-2,0,0,0,0
GPD2,743,339,1569,1602
GALNT5,100,99,78,82
ERMN,11,3,14,2
FAM133DP,27,22,68,77
CYTIP,420,344,71,67
ACVR1C,6,0,26,22
ACVR1,434,461,370,310
UPP2,0,0,4,2
CCDC148-AS1,0,0,0,0
CCDC148,13,6,51,50
PKP4,1085,674,1746,1759
DAPL1,7,5,56,56
TANC1,661,580,1497,1507
MIR6888,0,0,0,0
WDSUB1,97,69,160,171
BAZ2B,865,445,5881,5669
LOC643072,24,11,0,0
MARCHF7,1217,1009,985,894
CD302,0,0,0,0
LY75-CD302,0,0,0,0
LY75,347,69,59,55
PLA2R1,323,151,1430,1350
ITGB6,1890,334,2188,2087
LINC02478,0,0,0,0
RBMS1,1264,983,1220,1064
MIR4785,0,0,0,0
TANK,641,525,1243,1265
LOC101929512,1,0,0,0
LINC01806,2,7,0,0
PSMD14,442,259,447,420
TBR1,0,0,0,0
AHCTF1P1,76,53,235,220
SLC4A10,10,16,1,3
DPP4,175,264,29,37
LOC101929532,2,2,0,0
GCG,23,22,0,0
FAP,348,385,35,29
IFIH1,438,223,228,248
GCA,502,228,130,140
KCNH7,0,0,6,6
KCNH7-AS1,0,0,0,0
FIGN,83,55,39,21
GRB14,4,2,15,11
COBLL1,1384,716,3950,3993
SNORA70F,1,0,6,6
LOC101929633,5,0,0,0
SLC38A11,45,21,45,59
SCN3A,49,46,105,134
SCN2A,7,7,49,54
CSRNP3,45,84,29,25
GALNT3,519,160,1331,1297
LOC100506124,10,3,2,0
TTC21B,195,213,1552,1420
TTC21B-AS1,0,1,2,0
LOC102724058,0,0,0,0
SCN1A,2,1,0,0
SCN1A-AS1,0,0,0,0
SCN9A,24,40,155,165
SCN7A,81,84,6,6
XIRP2,0,2,0,0
XIRP2-AS1,0,0,0,0
B3GALT1,0,0,0,0
STK39,505,417,1235,1100
CERS6,496,247,330,294
MIR4774,0,0,0,0
CERS6-AS1,0,0,0,0
NOSTRIN,66,79,56,21
SPC25,2,0,2,6
G6PC2,0,0,0,0
ABCB11,4,7,16,16
DHRS9,55,111,10,6
LRP2,2,0,28,28
BBS5,45,68,216,242
KLHL41,21,166,12,9
FASTKD1,295,186,243,274
PPIG,989,619,2148,2033
CCDC173,2,3,26,42
PHOSPHO2,43,12,144,138
PHOSPHO2-KLHL23,0,0,0,0
KLHL23,0,0,0,0
SSB,1000,647,1330,1378
METTL5,157,125,244,236
UBR3,771,494,2085,2081
MYO3B,511,15,117,115
MYO3B-AS1,2,0,0,2
LOC101926913,0,2,0,0
LINC01124,0,2,0,4
SP5,4,4,4,0
ERICH2,1,6,2,4
GAD1,17,2,222,225
GORASP2,1088,909,1377,1310
TLK1,767,576,1716,1612
METTL8,247,166,196,194
DCAF17,281,229,1806,1710
CYBRD1,2304,3381,123,103
DYNC1I2,1343,1019,1280,1333
SLC25A12,359,508,706,736
HAT1,402,370,233,222
METAP1D,69,49,64,63
DLX1,0,0,0,0
DLX2,0,0,0,0
DLX2-DT,0,0,0,0
ITGA6,2451,1492,5874,5695
PDK1,510,422,389,404
RAPGEF4-AS1,0,0,0,0
RAPGEF4,118,151,224,257
MAP3K20,1174,2537,85,98
MAP3K20-AS1,0,3,0,0
CDCA7,119,64,36,32
SP3,1351,1035,1684,1691
LINC01960,1,0,0,0
OLA1,677,502,869,744
LINC01305,5,0,0,0
SP9,0,0,0,0
CIR1,478,271,624,619
SCRN3,322,209,327,296
GPR155,228,248,164,194
WIPF1,1698,1131,221,186
H3P6,558,366,23,37
CHRNA1,0,2,44,33
CHN1,156,193,166,187
ATF2,750,563,586,557
MIR933,0,0,0,4
ATP5MC3,1034,753,300,276
LNPK,452,250,383,352
EVX2,12,0,0,0
HOXD13,39,7,28,38
HOXD12,1,2,8,2
HOXD11,3,1,74,95
HOXD10,31,32,186,188
HOXD9,39,45,44,41
HOXD8,61,97,117,84
HOXD-AS2,1,0,0,0
HOXD3,17,15,36,37
MIR10B,0,0,0,0
HOXD4,41,11,98,118
HAGLR,268,80,2,2
HAGLROS,3,4,0,0
HOXD1,64,19,42,46
MIR7704,0,0,0,0
MTX2,256,211,666,619
MIR1246,0,0,0,0
LINC01116,14,19,0,0
LINC01117,0,0,0,0
LOC105373759,6,0,1,0
HNRNPA3,2945,1673,3628,3586
MIR4444-1,0,0,0,0
NFE2L2,2460,2076,1855,1708
MIR3128,1,0,0,0
LOC100130691,25,12,0,1
MIR6512,0,0,0,0
AGPS,845,549,1697,1694
TTC30B,78,48,96,99
TTC30A,94,70,83,75
PDE11A,8,0,10,4
PDE11A-AS1,0,0,0,0
RBM45,105,74,74,74
OSBPL6,31,29,10,10
CHROMR,94,51,0,0
PRKRA,265,339,542,513
PJVK,26,17,86,76
FKBP7,186,224,51,32
PLEKHA3,203,238,211,219
TTN-AS1,29,13,3,5
TTN,296,130,6837,6462
LOC101927055,0,0,0,0
CCDC141,14,13,74,57
SESTD1,805,613,1172,1169
ZNF385B,11,23,2,4
MIR1258,0,0,0,0
CWC22,448,325,595,527
SCHLAP1,14,1,2,2
UBE2E3,654,444,585,557
LINC01934,2,0,0,0
MIR4437,0,0,0,0
ITGA4,740,362,268,288
CERKL,44,11,21,9
NEUROD1,0,0,0,0
ITPRID2,1306,1416,1098,1040
PPP1R1C,7,1,3,4
PDE1A,116,355,22,14
DNAJC10,1929,1270,1828,1609
FRZB,311,211,47,39
NCKAP1,2406,2078,4231,4085
DUSP19,62,54,30,20
NUP35,104,93,205,195
MIR548AE1,0,0,0,0
LOC105373780,6,6,0,0
ZNF804A,21,37,10,11
FSIP2-AS2,2,0,1,0
FSIP2,40,33,2143,2071
LINC01473,4,5,0,0
ZC3H15,803,537,501,553
ITGAV,3028,1468,1663,1550
FAM171B,104,149,99,63
ZSWIM2,0,0,0,0
CALCRL,662,804,217,209
TFPI,739,1067,279,212
LINC01090,0,0,0,0
GULP1,200,360,80,63
MIR561,0,0,1,1
DIRC1,1,2,0,0
COL3A1,38858,68401,4485,4416
MIR1245A,0,0,0,0
MIR1245B,0,0,0,0
MIR3606,0,0,0,0
COL5A2,2923,3540,1066,978
MIR3129,0,0,0,0
WDR75,499,300,826,750
SLC40A1,2345,2117,918,1077
ASNSD1,490,315,214,226
ANKAR,42,31,382,370
OSGEPL1,103,81,175,191
OSGEPL1-AS1,0,3,2,0
ORMDL1,621,405,212,183
PMS1,243,186,966,912
C2orf88,54,164,98,83
MSTN,4,0,8,9
HIBCH,563,216,1689,1682
NA,0,0,1,0
INPP1,377,301,340,338
MFSD6,702,394,1347,1376
NEMP2,168,80,150,144
NA,3,4,0,0
NAB1,719,666,448,422
GLS,1278,1067,685,696
STAT1,3757,1672,9856,9588
STAT4,121,60,85,73
MYO1B,1022,655,733,759
NABP1,409,243,195,187
LOC729254,0,0,0,0
CAVIN2,373,1643,26,18
TMEFF2,10,9,0,4
PCGEM1,0,0,0,0
LINC01821,0,0,0,0
LINC01790,0,0,0,0
SLC39A10,402,209,397,324
DNAH7,20,10,212,211
STK17B,1202,604,394,362
HECW2,79,72,141,151
HECW2-AS1,5,2,0,0
CCDC150,9,10,65,101
LOC100130452,0,0,0,0
GTF3C3,480,271,569,628
C2orf66,8,0,22,22
PGAP1,449,157,1020,1009
ANKRD44,698,312,456,441
ANKRD44-IT1,2,0,0,0
SF3B1,4803,3315,7738,7486
COQ10B,398,432,157,184
HSPD1,2390,1262,3896,3784
HSPE1,167,54,118,117
HSPE1-MOB4,0,0,0,0
MOB4,0,1,1,6
RFTN2,73,114,41,47
MARS2,133,38,20,24
BOLL,1,0,47,51
PLCL1,109,180,56,44
LINC01923,0,0,0,0
SATB2,52,71,140,131
SATB2-AS1,0,0,0,0
LINC01877,0,0,0,0
FTCDNL1,0,2,2,0
C2orf69,232,149,217,213
TYW5,156,70,151,148
MAIP1,106,78,89,77
SPATS2L,1027,862,906,848
KCTD18,156,122,246,240
SGO2,118,53,128,135
AOX1,309,402,10,10
AOX2P,1,0,0,0
LINC01792,0,0,0,0
BZW1-AS1,0,0,0,0
BZW1,2064,1652,1058,960
RNU6-31P,0,0,0,0
CLK1,1526,1384,2414,2353
PPIL3,242,74,199,209
NIF3L1,271,116,207,207
ORC2,248,135,530,530
FAM126B,501,179,315,331
NDUFB3,159,102,191,203
CFLAR,1790,1203,972,919
CFLAR-AS1,3,2,4,4
CASP10,440,304,532,513
CASP8,582,252,1487,1475
FLACC1,10,5,49,39
TRAK2,786,848,627,593
STRADB,152,119,243,238
C2CD6,11,6,54,66
TMEM237,248,213,311,340
MPP4,2,0,14,7
ALS2,260,290,888,842
NA,0,1,0,0
CDK15,20,26,9,8
FZD7,274,450,25,30
KIAA2012,0,3,11,14
SUMO1,804,534,434,496
NOP58,608,392,1169,1226
SNORD70,0,0,13,14
SNORD11B,0,0,0,0
SNORD11,0,0,29,27
BMPR2,1972,924,2994,2889
FAM117B,289,149,448,409
ICA1L,58,88,235,191
WDR12,185,148,319,303
CARF,141,118,407,488
NBEAL1,568,229,2530,2368
CYP20A1,312,176,404,356
ABI2,683,526,257,255
RAPH1,597,288,1364,1435
CD28,274,206,16,17
CTLA4,82,43,24,17
ICOS,93,62,59,54
PARD3B,168,330,427,444
NRP2,488,1016,133,130
INO80D,423,114,849,728
GCSHP3,29,16,191,174
NDUFS1,851,500,1783,1649
EEF1B2,2627,1843,1965,1753
SNORD51,0,0,1,2
SNORA41,2,0,14,10
GPR1,3,58,0,0
GPR1-AS,0,0,0,0
ZDBF2,159,162,265,249
ADAM23,53,132,55,59
FAM237A,0,0,0,0
DYTN,0,0,0,0
MDH1B,3,17,21,18
FASTKD2,495,289,904,836
MIR3130-1,0,0,0,0
MIR3130-2,0,0,0,0
CPO,7,1,10,5
KLF7,441,624,103,79
MIR2355,0,0,0,0
MIR7845,0,0,0,0
MYOSLID-AS1,0,4,0,0
MIR1302-4,0,0,0,0
CREB1,990,507,363,299
METTL21A,124,82,66,63
CCNYL1,273,242,164,173
MIR4775,0,0,0,0
FZD5,98,28,46,42
PLEKHM3,223,153,291,259
LOC100507443,0,0,0,0
CRYGD,0,0,0,0
CRYGC,0,0,0,0
CRYGB,0,0,0,0
CRYGA,0,0,0,0
C2orf80,0,0,0,0
IDH1,5860,1361,2680,2629
IDH1-AS1,2,0,0,0
PIKFYVE,884,461,2688,2575
PTH2R,0,2,0,2
MAP2,81,70,24,38
UNC80,2,2,2,2
RPE,383,285,620,545
KANSL1L,153,187,536,479
KANSL1L-AS1,1,3,10,2
ACADL,4,7,24,51
MYL1,0,0,0,0
LANCL1-AS1,0,2,4,0
LANCL1,978,647,328,287
CPS1,24,28,27,25
CPS1-IT1,0,0,0,0
ERBB4,5,1,40,34
MIR548F2,0,0,0,0
MIR4776-1,0,0,0,0
MIR4776-2,0,0,0,0
IKZF2,1360,133,1006,949
SPAG16-DT,0,0,3,0
SPAG16,387,111,208,278
MIR4438,0,0,0,0
VWC2L,2,0,2,8
VWC2L-IT1,0,0,0,0
BARD1,99,68,184,160
SNHG31,6,0,0,0
ABCA12,9,8,336,314
ATIC,625,348,1325,1329
FN1,10148,14274,1854,1676
LOC102724849,0,0,0,0
LINC00607,2,5,0,0
MREG,173,31,68,53
PECR,39,39,55,80
TMEM169,4,4,5,4
XRCC5,4270,2062,3868,3820
LINC01963,45,8,0,0
MARCHF4,0,2,0,0
SMARCAL1,282,233,631,558
RPL37A,2404,1362,3040,2864
LINC01280,0,0,0,0
IGFBP2,281,280,10,23
IGFBP5,8329,6789,8,9
TNP1,0,0,0,0
LINC01921,0,0,0,0
DIRC3,12,30,0,0
TNS1,2555,10396,276,276
MIR6809,0,0,2,1
RUFY4,5,3,12,22
CXCR2P1,16,20,15,4
CXCR2,386,52,2,13
CXCR1,233,16,0,4
ARPC2,4301,2857,4272,4131
TRY-ATA1-1,0,0,1,1
GPBAR1,11,38,48,47
AAMP,687,605,483,461
PNKD,412,299,144,163
TMBIM1,2375,1585,1108,1020
MIR6513,0,0,3,4
CATIP-AS2,0,0,0,0
MIR6810,0,0,0,0
CATIP,3,0,2,4
CATIP-AS1,0,0,0,0
SLC11A1,143,102,29,41
CTDSP1,1003,1060,171,174
MIR26B,0,0,1,0
VIL1,0,0,9,5
USP37,333,151,327,305
CNOT9,377,287,467,517
PLCD4,41,155,56,63
ZNF142,256,197,314,307
BCS1L,205,159,231,207
RNF25,156,172,81,105
STK36,243,330,501,506
TTLL4,172,157,491,448
CYP27A1,419,240,20,13
PRKAG3,0,3,18,14
MIR9500,0,0,0,0
WNT6,5,0,20,42
WNT10A,58,19,88,74
LINC01494,0,0,0,0
CDK5R2,0,0,0,0
LINC00608,0,0,0,0
FEV,0,0,0,0
CRYBA2,0,0,0,0
MIR375,0,0,0,0
LOC100129175,0,0,0,0
CFAP65,0,0,0,0
IHH,0,0,0,0
MIR3131,0,0,0,0
NHEJ1,116,94,52,65
SLC23A3,7,12,57,41
CNPPD1,613,450,199,220
RETREG2,1014,658,379,281
ZFAND2B,212,199,113,108
ABCB6,139,188,146,133
ATG9A,466,555,274,229
ANKZF1,378,271,377,332
GLB1L,108,158,94,83
STK16,243,155,62,64
TUBA4A,368,308,148,126
TUBA4B,3,0,8,3
DNAJB2,504,491,213,164
PTPRN,50,1,0,2
MIR153-1,0,0,0,0
RESP18,1,0,0,0
DNPEP,478,399,262,225
DES,3488,40303,32,10
SPEG,78,690,41,32
SPEGNB,4,14,0,0
GMPPA,217,270,79,93
ASIC4,0,0,0,1
CHPF,283,368,48,69
TMEM198,36,34,17,12
MIR3132,0,0,0,0
OBSL1,421,344,426,416
INHA,0,0,5,26
STK11IP,198,140,260,229
SLC4A3,32,43,25,21
NA,0,0,0,0
MIR4268,0,0,0,0
EPHA4,172,176,213,189
PAX3,0,0,0,0
CCDC140,0,0,0,0
SGPP2,613,181,301,277
FARSB,267,220,629,543
MOGAT1,0,0,0,2
ACSL3,1371,534,1243,1142
KCNE4,55,306,10,8
SCG2,5,18,4,4
AP1S3,344,99,109,142
WDFY1,1036,495,555,538
MRPL44,345,146,127,128
SERPINE2,1262,1430,12,11
FAM124B,50,48,2,6
CUL3,1138,654,1529,1508
DOCK10,638,344,548,590
MIR4439,0,0,0,0
NYAP2,61,3,10,2
LOC646736,0,0,0,0
MIR5702,0,0,0,0
IRS1,874,463,1021,981
RHBDD1,466,320,173,208
COL4A4,128,314,91,100
COL4A3,74,34,178,224
MFF-DT,11,10,0,1
MFF,443,401,549,512
TM4SF20,0,0,2,1
MIR5703,0,0,0,0
AGFG1,1020,747,1122,1167
C2orf83,3,0,0,0
SLC19A3,28,15,2,8
CCL20,589,105,38,44
DAW1,0,0,0,0
SPHKAP,0,0,0,0
PID1,187,302,14,7
DNER,0,13,2,0
TRIP12,2723,1370,4522,4349
FBXO36,44,27,24,18
SLC16A14,88,109,16,18
SP110,495,274,967,909
SP140,218,110,115,158
SP140L,281,126,1011,878
SP100,1456,802,2250,2212
LINC01907,3,0,0,0
CAB39,1840,1307,386,381
ITM2C,1935,1211,404,438
GCSIR,0,0,0,0
GPR55,25,23,10,4
SPATA3-AS1,0,0,0,0
SPATA3,0,0,0,0
C2orf72,18,11,0,2
PSMD1,877,788,1387,1196
HTR2B,44,56,366,377
ARMC9,201,182,221,222
MIR4777,0,0,0,0
B3GNT7,29,19,20,10
NA,1,0,0,0
NCL,4846,3128,5818,5678
SNORA75,1,0,103,86
SNORD20,1,0,4,4
SNORD82,0,0,12,15
LINC00471,0,0,8,6
NMUR1,27,24,2,0
TEX44,0,0,0,0
PTMA,5782,3694,6654,6782
MIR1244-1,0,0,0,0
PDE6D,116,111,51,29
COPS7B,312,267,222,202
MIR1471,0,0,0,0
NPPC,0,0,0,0
DIS3L2,190,172,793,810
MIR562,0,0,8,22
ALPP,0,0,0,0
ECEL1P2,3,0,0,0
ALPG,0,0,0,0
ALPI,0,0,0,0
ECEL1,6,5,2,2
PRSS56,0,0,0,0
CHRND,0,0,35,23
CHRNG,1,2,49,65
TIGD1,25,34,46,61
EIF4E2,583,460,269,270
MIR5001,0,0,0,0
EFHD1,69,148,3,0
GIGYF2,942,575,2292,2288
KCNJ13,1,1,327,298
SNORC,1,0,0,0
NGEF,3,13,3,14
NEU2,0,0,0,0
INPP5D,733,431,877,774
ATG16L1,325,316,315,403
SCARNA5,0,0,3908,3687
SCARNA6,0,2,583,533
SAG,0,0,0,0
DGKD,342,327,259,240
USP40,712,420,999,988
UGT1A8,78,133,1026,1062
UGT1A10,4,8,3257,3129
UGT1A9,0,3,1880,1703
UGT1A7,1,0,2734,2676
UGT1A6,1081,75,1639,1572
UGT1A5,1,0,590,539
UGT1A4,0,0,704,692
UGT1A3,2,0,607,627
DNAJB3,1,0,0,0
